id,name
comedy,Comedy
romance,Romance
drama,Drama
musical,Musical
fantasy,Fantasy
adventure,Adventure
action,Action
mystery-thriller,Mystery & thriller
sci-fi,Sci-fi
crime,Crime
horror,Horror
kids-family,Kids & family
animation,Animation
lgbtq,Lgbtq+
music,Music
history,History
war,War
biography,Biography
