id,movie_id,genre_id
174,/m/nosferatu,horror
175,/m/1000355-adventures_of_robin_hood,adventure
176,/m/1000355-adventures_of_robin_hood,action
177,/m/la_la_land,comedy
178,/m/la_la_land,musical
179,/m/la_la_land,romance
180,/m/la_la_land,drama
181,/m/north-by-northwest,mystery-thriller
182,/m/1012007-laura,mystery-thriller
183,/m/spider_man_far_from_home,fantasy
184,/m/spider_man_far_from_home,adventure
185,/m/spider_man_far_from_home,comedy
186,/m/spider_man_far_from_home,action
187,/m/incredibles_2,adventure
188,/m/incredibles_2,comedy
189,/m/incredibles_2,kids-family
190,/m/incredibles_2,animation
191,/m/incredibles_2,action
192,/m/zootopia,animation
193,/m/zootopia,kids-family
194,/m/zootopia,adventure
195,/m/zootopia,comedy
196,/m/alien,horror
197,/m/alien,sci-fi
198,/m/1011615-king_kong,adventure
199,/m/1011615-king_kong,fantasy
200,/m/1018688-shadow_of_a_doubt,crime
201,/m/1018688-shadow_of_a_doubt,mystery-thriller
202,/m/1018688-shadow_of_a_doubt,drama
203,/m/call_me_by_your_name,lgbtq
204,/m/call_me_by_your_name,romance
205,/m/call_me_by_your_name,drama
206,/m/psycho,mystery-thriller
207,/m/psycho,horror
208,/m/1917_2019,war
209,/m/1917_2019,history
210,/m/1917_2019,drama
211,/m/la_confidential,crime
212,/m/la_confidential,drama
213,/m/the_florida_project,drama
214,/m/war_for_the_planet_of_the_apes,adventure
215,/m/war_for_the_planet_of_the_apes,sci-fi
216,/m/war_for_the_planet_of_the_apes,action
217,/m/paddington_2,adventure
218,/m/paddington_2,kids-family
219,/m/paddington_2,comedy
220,/m/beatles_a_hard_days_night,comedy
221,/m/beatles_a_hard_days_night,musical
222,/m/widows_2018,crime
223,/m/widows_2018,mystery-thriller
224,/m/widows_2018,drama
225,/m/never_rarely_sometimes_always,drama
226,/m/baby_driver,mystery-thriller
227,/m/baby_driver,action
228,/m/spider_man_homecoming,fantasy
229,/m/spider_man_homecoming,adventure
230,/m/spider_man_homecoming,comedy
231,/m/spider_man_homecoming,action
232,/m/godfather_part_ii,crime
233,/m/godfather_part_ii,drama
234,/m/the_battle_of_algiers,history
235,/m/the_battle_of_algiers,drama
236,/m/the_battle_of_algiers,war
