id,name,release,meter,score,thumb,summary
12,Lady Bird,11/22/2017,99,79,https://resizing.flixster.com/P-z2SPSQ7kEXVJKxzk836BO1inU=/206x305/v2/https://flxt.tmsimg.com/assets/p14426291_p_v8_ad.jpg,A teenager (Saoirse Ronan) navigates a loving but turbulent relationship with her strong-willed mother (Laurie Metcalf) over the course of an eventful and poignant senior year of high school.
13,Mission: Impossible -- Fallout,7/27/2018,97,88,https://resizing.flixster.com/7A2ehWVh5ci3f8FM5QWRwIqtYBU=/206x305/v2/https://flxt.tmsimg.com/NowShowing/168920/168920_ac.jpg,"Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions. Arms dealer John Lark and a group of terrorists known as the Apostles plan to use three plutonium cores for a simultaneous nuclear attack on the Vatican, Jerusalem and Mecca, Saudi Arabia. When the weapons go missing, Ethan and his crew find themselves in a desperate race against time to prevent them from falling into the wrong hands."
14,BlacKkKlansman,8/10/2018,96,83,https://resizing.flixster.com/vXXj93B8xkbcdjbbGAt3FvGGdSE=/206x305/v2/https://resizing.flixster.com/ArszerjJ4bJS0oxhN6IL122ACt0=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzhjNzE2NGRmLTI2NmUtNGZhOS1hMjNkLTQyNDhmMzMxN2RjYS53ZWJw,"Ron Stallworth is the first African-American detective to serve in the Colorado Springs Police Department. Determined to make a name for himself, Stallworth bravely sets out on a dangerous mission: infiltrate and expose the Ku Klux Klan. The detective soon recruits a more seasoned colleague, Flip Zimmerman, into the undercover investigation of a lifetime. Together, they team up to take down the extremist hate group as the organization aims to sanitize its rhetoric to appeal to the mainstream."
15,Get Out,2/24/2017,98,86,https://resizing.flixster.com/WQvxDGdZxKzj53GK3fVbkC-2eC8=/206x305/v2/https://resizing.flixster.com/Q2uwvQLSNT5ObCtXKALBjceWDbw=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzNiZGVhNTVmLWQzOGUtNGMwZC1hYmZjLTIxZWE5NThkMTdjNS53ZWJw,"Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway with Missy and Dean. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries leads him to a truth that he never could have imagined."
16,The Irishman,11/1/2019,95,86,https://resizing.flixster.com/JO0091NlbgXGhQ2jPlzD3ldulD4=/206x305/v2/https://resizing.flixster.com/nP0EKgScfbt_xQfYuiHzWTGKfSc=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzViMjBhZDM0LWMxNTUtNDA3OC05ZjVkLTg4MDliYjNhNjdkOC53ZWJw,"In the 1950s, truck driver Frank Sheeran gets involved with Russell Bufalino and his Pennsylvania crime family. As Sheeran climbs the ranks to become a top hit man, he also goes to work for Jimmy Hoffa -- a powerful Teamster tied to organized crime."
17,The Godfather,3/15/1972,97,98,https://resizing.flixster.com/DuGwTf1oZLyO-gJBjQLwVDUAFFU=/206x305/v2/https://flxt.tmsimg.com/NowShowing/43177/43177_aa.jpg,"Widely regarded as one of the greatest films of all time, this mob drama, based on Mario Puzo's novel of the same name, focuses on the powerful Italian-American crime family of Don Vito Corleone (Marlon Brando). When the don's youngest son, Michael (Al Pacino), reluctantly joins the Mafia, he becomes involved in the inevitable cycle of violence and betrayal. Although Michael tries to maintain a normal relationship with his wife, Kay (Diane Keaton), he is drawn deeper into the family business."
18,Mad Max: Fury Road,5/15/2015,97,86,https://resizing.flixster.com/OlMKHx-awXBsb09-L5jWwTgiFMA=/206x305/v2/https://flxt.tmsimg.com/assets/p10854488_p_v8_ao.jpg,"Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When the warrior Imperator Furiosa (Charlize Theron) leads the despot's five wives in a daring escape, she forges an alliance with Max Rockatansky (Tom Hardy), a loner and former captive. Fortified in the massive, armored truck the War Rig, they try to outrun the ruthless warlord and his henchmen in a deadly high-speed chase through the Wasteland."
19,Spider-Man: Into the Spider-Verse,12/14/2018,97,93,https://resizing.flixster.com/K_xQM7lm1bc34qUvccL8FhDY6G4=/206x305/v2/https://flxt.tmsimg.com/assets/p14939602_p_v8_ab.jpg,"Bitten by a radioactive spider in the subway, Brooklyn teenager Miles Morales suddenly develops mysterious powers that transform him into the one and only Spider-Man. When he meets Peter Parker, he soon realizes that there are many others who share his special, high-flying talents. Miles must now use his newfound skills to battle the evil Kingpin, a hulking madman who can open portals to other universes and pull different versions of Spider-Man into our world."
20,Moonlight,11/18/2016,98,79,https://resizing.flixster.com/VyiEyoUib0GlCimMb87CzJoTpxI=/206x305/v2/https://resizing.flixster.com/qLkoDr2KW-zojFklfqokgKhLiHI=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzQ1MTIzMDlhLWJiMWUtNGVhOS05MjFhLTkyMjVmNDkzNDA5Yi53ZWJw,"A look at three defining chapters in the life of Chiron, a young black man growing up in Miami. His epic journey to manhood is guided by the kindness, support and love of the community that helps raise him."
21,Sunset Blvd.,8/10/1950,98,95,https://resizing.flixster.com/jASvWdyGN-hdWP61BVQk5njKUno=/206x305/v2/https://flxt.tmsimg.com/assets/p1187_p_v8_ai.jpg,"An aging silent film queen refuses to accept that her stardom has ended. She hires a young screenwriter to help set up her movie comeback. The screenwriter believes he can manipulate her, but he soon finds out he is wrong. The screenwriters ambivalence about their relationship and her unwillingness to let go leads to a situation of violence, madness, and death."
