id,movie_id,genre_id
1,1,1
2,1,2
3,2,3
4,3,4
5,3,5
6,4,1
7,5,5
8,5,6
9,5,7
10,6,8
11,6,1
12,6,3
13,7,5
14,7,6
15,7,9
16,7,7
17,8,3
18,9,10
19,9,8
20,9,1
21,9,3
22,10,8
23,10,11
24,11,5
25,11,6
26,11,1
27,11,12
28,11,13
29,12,1
30,12,3
31,13,6
32,13,8
33,13,7
34,14,10
35,14,1
36,14,3
37,15,8
38,15,11
39,15,1
40,16,10
41,16,3
42,17,10
43,17,3
44,18,6
45,18,7
46,19,5
47,19,6
48,19,1
49,19,12
50,19,13
51,19,7
52,20,3
53,20,14
54,21,3
55,22,3
56,23,8
57,23,5
58,23,11
59,24,1
60,24,2
61,25,3
62,26,5
63,26,6
64,26,7
65,27,3
66,27,2
67,27,15
68,28,5
69,28,12
70,28,1
71,28,13
72,29,8
73,29,11
74,30,3
75,31,1
76,31,3
77,32,8
78,33,1
79,33,14
80,34,5
81,34,6
82,34,7
83,35,1
84,36,16
85,36,3
86,36,2
87,36,14
88,37,6
89,37,13
90,37,1
91,37,15
92,38,17
93,38,16
94,38,3
95,39,5
96,39,6
97,39,9
98,39,7
99,40,1
100,41,5
101,41,2
102,42,1
103,42,5
104,42,9
105,42,7
106,42,6
107,43,3
108,44,1
109,44,3
110,45,16
111,45,3
112,46,8
113,47,8
114,48,6
115,48,9
116,49,7
117,50,3
118,50,17
119,51,8
120,51,9
121,51,3
122,52,1
123,52,4
124,53,1
125,53,3
126,54,10
127,54,3
128,55,17
129,56,5
130,56,12
131,56,13
132,57,1
133,57,3
134,58,1
135,58,2
136,59,3
137,60,9
138,60,6
139,60,7
140,60,5
141,61,4
142,61,2
143,62,3
144,63,9
145,63,3
146,64,3
147,65,9
148,65,8
149,65,3
150,66,3
151,67,10
152,67,3
153,68,8
154,68,11
155,69,18
156,69,16
157,69,3
158,70,1
159,70,3
160,71,16
161,71,8
162,71,3
163,72,6
164,72,12
165,72,1
166,72,13
167,73,16
168,73,3
169,73,15
170,74,1
171,74,3
172,75,3
173,76,5
174,76,11
175,77,6
176,77,7
177,78,1
178,78,4
179,78,2
180,78,3
181,79,8
182,80,8
183,81,5
184,81,6
185,81,1
186,81,7
187,82,6
188,82,1
189,82,12
190,82,13
191,82,7
192,83,13
193,83,12
194,83,6
195,83,1
196,84,11
197,84,9
198,85,6
199,85,5
200,86,10
201,86,8
202,86,3
203,87,14
204,87,2
205,87,3
206,88,8
207,88,11
208,89,17
209,89,16
210,89,3
211,90,10
212,90,3
213,91,3
214,92,6
215,92,9
216,92,7
217,93,6
218,93,12
219,93,1
220,94,1
221,94,4
222,95,10
223,95,8
224,95,3
225,96,3
226,97,8
227,97,7
228,98,5
229,98,6
230,98,1
231,98,7
232,99,10
233,99,3
234,100,16
235,100,3
236,100,17
