id,name
1,Comedy
2,Romance
3,Drama
4,Musical
5,Fantasy
6,Adventure
7,Action
8,Mystery & thriller
9,Sci-fi
10,Crime
11,Horror
12,Kids & family
13,Animation
14,Lgbtq+
15,Music
16,History
17,War
18,Biography
